date,Year,Month,Day,class,CC.Season,Season,Treatment,Rate,metabo.type,precip.cat
1/8/2008,2008,1,8,Early CC,CC,Winter,Pre,-6.04625085,HR,High
1/9/2008,2008,1,9,Early CC,CC,Winter,Pre,-6.929067303,HR,High
1/10/2008,2008,1,10,Early CC,CC,Winter,Pre,-3.246807127,HR,Zero
1/11/2008,2008,1,11,Early CC,CC,Winter,Pre,-3.234610752,HR,Elevated
1/12/2008,2008,1,12,Early CC,CC,Winter,Pre,-5.839508182,HR,Elevated
1/13/2008,2008,1,13,Early CC,CC,Winter,Pre,-3.071736182,HR,Zero
1/14/2008,2008,1,14,Early CC,CC,Winter,Pre,-3.829568409,HR,Elevated
1/15/2008,2008,1,15,Early CC,CC,Winter,Pre,-4.231689884,HR,Elevated
1/16/2008,2008,1,16,Early CC,CC,Winter,Pre,-4.476637608,HR,Zero
1/17/2008,2008,1,17,Early CC,CC,Winter,Pre,-3.183086741,HR,Zero
1/18/2008,2008,1,18,Early CC,CC,Winter,Pre,-3.162864603,HR,Elevated
1/19/2008,2008,1,19,Early CC,CC,Winter,Pre,-2.640060632,HR,Elevated
1/20/2008,2008,1,20,Early CC,CC,Winter,Pre,-2.704854346,HR,Zero
1/31/2008,2008,1,31,Early CC,CC,Winter,Pre,-1.498420514,HR,Zero
2/1/2008,2008,2,1,Early CC,CC,Winter,Pre,-1.730742705,HR,Elevated
2/2/2008,2008,2,2,Early CC,CC,Winter,Pre,-1.662675344,HR,Elevated
2/3/2008,2008,2,3,Early CC,CC,Winter,Pre,-0.107995897,HR,Zero
2/4/2008,2008,2,4,Early CC,CC,Winter,Pre,-14.31825785,HR,Elevated
2/5/2008,2008,2,5,Early CC,CC,Winter,Pre,-12.56962412,HR,High
2/6/2008,2008,2,6,Early CC,CC,Winter,Pre,-12.42119485,HR,High
2/7/2008,2008,2,7,Early CC,CC,Winter,Pre,-6.844077501,HR,Elevated
2/8/2008,2008,2,8,Early CC,CC,Winter,Pre,-6.712415676,HR,Elevated
2/9/2008,2008,2,9,Early CC,CC,Winter,Pre,-2.066140076,HR,Elevated
2/10/2008,2008,2,10,Early CC,CC,Winter,Pre,-2.552658381,HR,Zero
2/26/2008,2008,2,26,Early CC,CC,Winter,Pre,-1.602719096,HR,Elevated
2/27/2008,2008,2,27,Early CC,CC,Winter,Pre,-1.462228885,HR,Elevated
2/28/2008,2008,2,28,Early CC,CC,Winter,Pre,-1.320509531,HR,Zero
2/29/2008,2008,2,29,Early CC,CC,Winter,Pre,-1.618272675,HR,Elevated
3/1/2008,2008,3,1,Late CC,CC,Winter,Pre,-0.551772992,HR,Elevated
3/2/2008,2008,3,2,Late CC,CC,Winter,Pre,-0.788539733,HR,Zero
3/3/2008,2008,3,3,Late CC,CC,Winter,Pre,-6.604204861,HR,Elevated
3/4/2008,2008,3,4,Late CC,CC,Winter,Pre,-3.963176081,HR,Elevated
3/5/2008,2008,3,5,Late CC,CC,Winter,Pre,-2.595842878,HR,Elevated
3/6/2008,2008,3,6,Late CC,CC,Winter,Pre,-2.451045896,HR,Zero
3/7/2008,2008,3,7,Late CC,CC,Winter,Pre,-2.288668651,HR,Zero
3/8/2008,2008,3,8,Late CC,CC,Winter,Pre,-2.013483782,HR,Zero
3/9/2008,2008,3,9,Late CC,CC,Winter,Pre,-2.258176789,HR,Zero
3/11/2008,2008,3,11,Late CC,CC,Winter,Pre,-1.741838209,HR,Zero
3/12/2008,2008,3,12,Late CC,CC,Winter,Pre,-4.711683995,HR,Zero
3/13/2008,2008,3,13,Late CC,CC,Winter,Pre,-5.215472728,HR,Zero
3/14/2008,2008,3,14,Late CC,CC,Winter,Pre,-4.258904451,HR,Zero
3/15/2008,2008,3,15,Late CC,CC,Winter,Pre,-2.720620441,HR,Zero
3/16/2008,2008,3,16,Late CC,CC,Winter,Pre,-2.956059728,HR,Zero
3/17/2008,2008,3,17,Late CC,CC,Winter,Pre,-6.703706828,HR,Zero
4/22/2008,2008,4,22,Late CC,CC,Spring,Pre,-1.843629964,HR,Zero
4/23/2008,2008,4,23,Late CC,CC,Spring,Pre,-2.187960513,HR,Zero
4/24/2008,2008,4,24,Late CC,CC,Spring,Pre,-2.556856887,HR,Zero
4/25/2008,2008,4,25,Late CC,CC,Spring,Pre,-2.39963192,HR,Elevated
4/26/2008,2008,4,26,Late CC,CC,Spring,Pre,-1.627578635,HR,Elevated
4/27/2008,2008,4,27,Late CC,CC,Spring,Pre,-1.959232292,HR,Zero
4/28/2008,2008,4,28,Late CC,CC,Spring,Pre,-2.676483372,HR,Elevated
4/29/2008,2008,4,29,Late CC,CC,Spring,Pre,-1.117570627,HR,Elevated
4/30/2008,2008,4,30,Late CC,CC,Spring,Pre,-1.42319477,HR,Zero
5/1/2008,2008,5,1,Late CC,No CC,Spring,Pre,-2.81117899,HR,Zero
5/2/2008,2008,5,2,Late CC,No CC,Spring,Pre,-1.883258231,HR,Zero
5/6/2008,2008,5,6,Late CC,No CC,Spring,Pre,-2.080111988,HR,Zero
5/7/2008,2008,5,7,Late CC,No CC,Spring,Pre,-3.59261272,HR,Zero
5/8/2008,2008,5,8,Late CC,No CC,Spring,Pre,-2.455003916,HR,Elevated
5/9/2008,2008,5,9,Late CC,No CC,Spring,Pre,-2.284310695,HR,Elevated
5/10/2008,2008,5,10,Late CC,No CC,Spring,Pre,-3.24359126,HR,Zero
5/11/2008,2008,5,11,Late CC,No CC,Spring,Pre,-0.284924144,HR,Elevated
5/12/2008,2008,5,12,Late CC,No CC,Spring,Pre,-2.586563886,HR,High
5/13/2008,2008,5,13,Late CC,No CC,Spring,Pre,-3.887001019,HR,Zero
5/14/2008,2008,5,14,Late CC,No CC,Spring,Pre,-1.416760541,HR,Elevated
5/15/2008,2008,5,15,Late CC,No CC,Spring,Pre,-3.948706216,HR,Elevated
5/16/2008,2008,5,16,Late CC,No CC,Spring,Pre,-2.702397421,HR,Elevated
5/17/2008,2008,5,17,Late CC,No CC,Spring,Pre,-2.476562205,HR,Zero
5/18/2008,2008,5,18,Late CC,No CC,Spring,Pre,-2.422854444,HR,Elevated
