date,water.year,year,month,class,day,crop.season,season,treatment,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,NEP,K600,K600.lower,K600.upper,precip.inch,precip.mm,precip.cat,Q,exceedprob,exceedence.category,exceedence.category.alt,turb,water.temp,light,turb.increase,gpp.decrease,gpp.return,er.decrease,er.return,gpp.pre,turb.return
5/12/2008,2008,2008,5,Proximal,12,nocc,Spring,Pre,1.237884279,0.791734071,1.672640682,-3.539734781,-4.517478312,-2.507688974,-2.301850502,8.183939481,7.491608723,8.886285387,0.71,18.03,High,125.49,71.24078624,60-90,Elevated,31.07419355,11.20625,371.4909462,28,-84.04907975,2.29,-83,2.33,1.63,2.16
10/25/2008,2009,2008,10,Distal,25,cc,Fall,Pre,0.204757139,-0.020275476,0.420324136,-0.049205096,-0.444459952,0.309340116,0.155552043,8.208810133,6.977479071,9.385254428,0.74,18.8,High,33.95,29.38574939,10-40%,Low,NA,9.545625,181.9352351,40.375,-84.84848485,3.34,36.78,NA,0.33,
5/18/2010,2010,2010,5,Proximal,18,nocc,Spring,Pre,0.750612979,-0.071886788,1.521835872,-3.983467422,-5.661586688,-2.338862441,-3.232854443,7.237421251,6.37994156,8.137056679,0.83,21.08,High,209.97,82.69041769,60-90,High,19.1604,12.289375,378.5477986,17.3,-72.72727273,2.3,-23.8,2.12,2.72,1.88
4/28/2011,2011,2011,4,Proximal,28,cc,Spring,Pre,0.908428909,0.585393758,1.245748444,-4.353365783,-7.842499363,-1.327607289,-3.444936874,1.684517744,1.087449844,2.242109874,1.47,37.34,High,1165.27,99.01719902,90-100,High,133.7565,10.67125,344.9991237,101,-97.58454106,2.98,56,NA,2.07,4.08
10/20/2011,2012,2011,10,Distal,20,cc,Fall,Pre,0.094444432,-0.203545673,0.374304075,-2.469713012,-3.919503689,-1.082326248,-2.37526858,4.825823789,3.8365198,5.782542045,2.25,57.15,High,162.16,77.30958231,60-90,Elevated,31.2396,9.952708333,195.203953,27.4375,-93.52,10.8,38,NA,1.39,2.31
11/23/2011,2012,2011,11,Distal,23,cc,Fall,Pre,0.312887385,0.045348142,0.572409381,-3.060676983,-4.411040719,-1.584206053,-2.747789598,5.691400362,4.818566377,6.589971264,0.95,24.13,High,245.28,85.13513514,60-90,High,36.5083,7.830833333,133.7515077,19.6440678,-84.72906404,2.68,-62,2.18,2.01,1.83
11/29/2011,2012,2011,11,Distal,29,cc,Fall,Pre,0.001412752,-0.256520779,0.271324823,-7.727588523,-12.09726488,-3.444595307,-7.726175771,3.394376614,2.757156409,4.066651188,1.22,30.99,High,1431.46,99.54545455,90-100,High,66.6937,6.277916667,127.0409505,32.6969697,-93,,,NA,,2.58
4/24/2013,2013,2013,4,Proximal,24,cc,Spring,Pre,2.134200655,1.35828123,2.970649783,-9.55207741,-13.95392045,-5.188902006,-7.417876755,3.019904212,2.38465622,3.642849261,1.65,41.91,High,889.92,97.91154791,90-100,High,87.7685,8.60375,336.8420779,35.63,-71.56208278,2.67,,NA,7.49,3.04
5/12/2014,2014,2014,5,Proximal,12,nocc,Spring,Post,5.894284699,5.402337405,6.382362956,-5.495822515,-6.38475088,-4.604662133,0.398462184,0.713125249,0.566703433,0.863304215,3,76.2,High,201.83,81.89189189,60-90,High,5.1096,18.62041667,211.7311208,6.34,-52.3715415,1.67,-4.58,4,5.06,1.1
5/15/2014,2014,2014,5,Proximal,15,nocc,Spring,Post,1.738366754,1.211712797,2.249276946,-4.141476354,-6.42555463,-1.835673998,-2.4031096,2.011432658,1.520511657,2.520626389,1.13,28.7,High,934.96,98.13267813,90-100,High,16.9298,11.49083333,99.09606875,12.06,-64.55,,-34,NA,6.35,2.35
4/20/2015,2015,2015,4,Proximal,20,cc,Spring,Post,1.855263167,1.223578179,2.465843531,-4.081043361,-5.673470953,-2.543524091,-2.225780194,6.879024231,6.054542369,7.685978086,0.9,22.86,High,243.65,84.97542998,60-90,High,10.8356,10.90875,328.5032557,7,-69.26910299,6.03,-30.7,NA,6.04,1.08
5/6/2015,2015,2015,5,Proximal,6,nocc,Spring,Post,2.732080943,1.931901045,3.539635035,-6.289574259,-8.04233665,-4.607390872,-3.557493316,8.725146488,7.890172139,9.552097061,1.1,27.94,High,99.96,64.41031941,60-90,Elevated,8.5542,14.85541667,360.1151218,5.8,-43.51351351,3.42,-12.4,1.3,3.7,0.83
5/31/2015,2015,2015,5,Proximal,31,nocc,Spring,Post,0.078833021,-0.539223986,0.761252574,-6.844011017,-9.275974027,-4.572896336,-6.765177996,11.82800336,10.69660314,12.92216834,1.87,47.5,High,130.65,72.23587224,60-90,Elevated,16.0104,16.63666667,393.1606376,9.9,-57.8,,-20.3,4.2,3.43,2.14
3/26/2017,2017,2017,3,Proximal,26,cc,Winter,Post,1.380769754,0.529744976,2.210968099,-7.179437252,-9.808619059,-4.771214754,-5.798667498,7.573630773,6.673183364,8.44336049,0.792,20.1,High,583.19,95.18427518,90-100,High,22.0743,10.063125,168.4362248,5.4,-75.35714286,3.4,1.5,,5.6,2.1
